Producto_ID,NombreProducto,product_shortname,cluster
614,Bombonete SC 55g Cj MLA 614,Bombonete SC 55g,14
617,Canelitas 900g MLA 617,Canelitas 900g,26
630,Nito ME 4p 248g BIM 630,Nito ME 4p 248g,19
632,Mantecadas ME 8p 250g BIM 632,Mantecadas ME 8p 250g,14
634,Donitas Espolvoreadas ME 12p 210g BIM 634,Donitas Espolvoreadas ME 12p 210g,27
635,Donas Azucar ME 8p 210g BIM 635,Donas Azucar ME 8p 210g,25
641,Bollo Extra Grande 15p 1200g BIM 641,Bollo Extra Grande 15p 1200g,17
665,Figatza 345g BIM 665,Figatza 345g,28
693,Tostada Plana 15p 175g MR 693,Tostada Plana 15p 175g,4
713,Pan Multigrano 680g ORO 713,Pan Multigrano 680g,1
714,7 Granos 680g ORO 714,7 Granos 680g,1
715,Pan 100pct Integral 680g ORO 715,Pan 100pct Integral 680g,1
739,Saladas 200p 2 4Kg LAR 739,Saladas 200p 2 4Kg,13
779,Pan Blanco Silueta 500g BIM 779,Pan Blanco Silueta 500g,16
799,Mini Principe 45g MLA 799,Mini Principe 45g,12
815,Tostada Ondulada Reg 30p 360g MR 815,Tostada Ondulada Reg 30p 360g,4
831,Gansito 10p 500g MLA 831,Gansito 10p 500g,19
890,Tostada Tubo 3pq 360g MR 890,Tostada Tubo 3pq 360g,4
897,Tostada Ond Tubo 30p 360g Prom MR 897,Tostada Ond Tubo 30p 360g,4
915,Bolillo Congelado 80g DH 915,Bolillo Congelado 80g,2
972,Roles Canela 6p 365g BIM 972,Roles Canela 6p 365g,2
1031,Pan Bolsa 2a 500g BIM 1031,Pan Bolsa 2a 500g,1
1039,Pan 12 Granos 680g ORO 1039,Pan 12 Granos 680g,1
1064,Panque Marmol 255g BIM 1064,Panque Marmol 255g,13
1101,Tortillinas Gde McD 500g Cn TR 1101,Tortillinas Gde McD 500g,15
1109,Pan Blanco Chico 360g BIM 1109,Pan Blanco Chico 360g,16
1111,Pan Blanco 2Pq 1360g BIM 1111,Pan Blanco 2Pq 1360g,16
1112,Super Pan Blanco 740g BIM 1112,Super Pan Blanco 740g,16
1120,Pan Blanco 680g BIM 1120,Pan Blanco 680g,16
1124,Tortillinas 10p 365g Promo 50pct TR 1124,Tortillinas 10p 365g Promo 50pct,15
1125,Tortillinas 10p 255g TR 1125,Tortillinas 10p 255g,15
1126,Tortillinas Grande 10p 510g TR 1126,Tortillinas Grande 10p 510g,15
1129,Tortillinas 20p 510g TR 1129,Tortillinas 20p 510g,15
1134,Tortilla Hna 22p 840g Conv DH 1134,Tortilla Hna 22p 840g,8
1136,Jugos Guayaba Sonrisas 350ml VR 1136,Jugos Guayaba Sonrisas 350ml,14
1143,Pan Integral Gde 2pq 1360g BIM 1143,Pan Integral Gde 2pq 1360g,1
1144,Pan Integral 480g BIM 1144,Pan Integral 480g,1
1145,Pan Integral 680g BIM 1145,Pan Integral 680g,1
1146,Pan Integral 675g BIM 1146,Pan Integral 675g,1
1147,Tostada Plana 15p 230g DH 1147,Tostada Plana 15p 230g,4
1148,Tostada Plana de Maiz 20p 180g DH 1148,Tostada Plana de Maiz 20p 180g,4
1150,Medias Noches 8p 340g BIM 1150,Medias Noches 8p 340g,20
1153,Medias Noches 16p 680g BIM 1153,Medias Noches 16p 680g,20
1156,Tortillinas 50p 1 31Kg TR 1156,Tortillinas 50p 1 31Kg,15
1160,Bimbollos 8p 450g BIM 1160,Bimbollos 8p 450g,9
1164,Bimbollos 12p 675g BIM 1164,Bimbollos 12p 675g,27
1166,Bollo Regular 2pq 30p McD BIM 1166,Bollo Regular 2pq 30p,17
1167,Bollos Quarter Pounder McD 30p 1700g BIM 1167,Bollos Quarter Pounder McD 30p 1700g,17
1168,Bollo Big Mac 30p 1200g McD BIM 1168,Bollo Big Mac 30p 1200g,17
1169,Bimbollos Extra 6p 480g BIM 1169,Bimbollos Extra 6p 480g,9
1178,Chino Congelado 72g Cj DH 1178,Chino Congelado 72g,21
1180,Tostado 210g BIM 1180,Tostado 210g,4
1182,Tostado 210g CU BIM 1182,Tostado 210g,4
1185,Molido 210g BIM 1185,Molido 210g,9
1187,Molido 5Kg BIM 1187,Molido 5Kg,9
1198,Tostado 2pq 420g BIM 1198,Tostado 2pq 420g,4
1212,Roles Canela 2p 120g BIM 1212,Roles Canela 2p 120g,18
1216,Roles Glass 2p 135g BIM 1216,Roles Glass 2p 135g,2
1220,Colchones 6p 130g BIM 1220,Colchones 6p 130g,8
1230,Panque Pasas 255g BIM 1230,Panque Pasas 255g,13
1232,Panque Nuez 255g BIM 1232,Panque Nuez 255g,14
1233,Tostado Doble Fibra 250g BIM 1233,Tostado Doble Fibra 250g,4
1238,Panquecito Gota Choc 2p 140g BIM 1238,Panquecito Gota Choc 2p 140g,2
1240,Mantecadas Vainilla 4p 125g BIM 1240,Mantecadas Vainilla 4p 125g,14
1242,Donitas Espolvoreadas 6p 105g BIM 1242,Donitas Espolvoreadas 6p 105g,25
1250,Donas Azucar 4p 105g BIM 1250,Donas Azucar 4p 105g,25
1272,Conchas Chocolate 2p 120g BIM 1272,Conchas Chocolate 2p 120g,18
1277,Nito Edicion Especial 62g BIM 1277,Nito Edicion Especial 62g,19
1278,Nito 1p 62g BIM 1278,Nito 1p 62g,19
1284,Rebanada 2p 55g BIM 1284,Rebanada 2p 55g,14
1289,Donas 6P Prom BIM 1289,Donas 6P,25
1294,Lors Tubo 20p 236g MLA 1294,Lors Tubo 20p 236g,6
1309,Bimbunuelos 4p 66g BIM 1309,Bimbunuelos 4p 66g,18
1319,Conchitas Vainilla 2p 65g BIM 1319,Conchitas Vainilla 2p 65g,11
1348,Surtido Rico KC 454g LAR 1348,Surtido Rico KC 454g,28
1373,Bollos Extra Ajn FS 12p 960g BIM 1373,Bollos Extra Ajn FS 12p 960g,27
1464,Donas Panera 26p 650g BIM 1464,Donas Panera 26p 650g,25
1554,Bimbollos con Ajn 18p 1440g BIM 1554,Bimbollos con Ajn 18p 1440g,9
1580,Rosca de Panque Recet Ori 600g CU SUA 1580,Rosca de Panque Recet Ori 600g,7
1608,Pastel Chocolate Rec Orig 500g CU SUA 1608,Pastel Chocolate Rec Orig 500g,13
1641,Doraditas 4p TR 1641,Doraditas 4p,23
1643,Bran Frut Pina 40g BIM 1643,Bran Frut Pina 40g,3
1644,Bran Frut Fresa 40g BIM 1644,Bran Frut Fresa 40g,3
1647,Animalitos KC 500g LAR 1647,Animalitos KC 500g,5
1686,Tortillas Harina 520g 20p WON 1686,Tortillas Harina 520g 20p,8
1687,Roles Glass 6p 410g BIM 1687,Roles Glass 6p 410g,2
1700,Tortilla Consumos 550g TR 1700,Tortilla Consumos 550g,8
1702,Tortillas Consumos 1 05Kg TR 1702,Tortillas Consumos 1 05Kg,8
1876,Totopos 200g MR 1876,Totopos 200g,5
1899,Galleta Molida 5Kg LAR 1899,Galleta Molida 5Kg,30
1949,Suavicremas Napolitano KC 12p 480g MLA 1949,Suavicremas Napolitano KC 12p 480g,27
2025,Pan Blanco 460g BIM 2025,Pan Blanco 460g,16
2027,Pan Blanco 567g WON 2027,Pan Blanco 567g,16
2028,Canelita ETN 3p 30g MLA 2028,Canelita ETN 3p 30g,26
2059,Banderilla Congelada 70g Cj DH 2059,Banderilla Congelada 70g,24
2060,Barrita Pina Congelada 75g Cj DH 2060,Barrita Pina Congelada 75g,24
2062,Concha Vainilla Cong 77g Cj DH 2062,Concha Vainilla Cong 77g,11
2063,Concha Chocolate Cong 77g Cj DH 2063,Concha Chocolate Cong 77g,13
2064,Peineta Danes Pina Congelada 80g Cj DH 2064,Peineta Danes Pina Congelada 80g,24
2065,Cuerno Congelado 80g Cj DH 2065,Cuerno Congelado 80g,2
2095,Pan Doble Fibra 750g BIM 2095,Pan Doble Fibra 750g,1
2096,Pan Doble Fibra 530g BIM 2096,Pan Doble Fibra 530g,1
2097,Concha Chicharron Cong 77g Cj DH 2097,Concha Chicharron Cong 77g,18
2122,Pan Blanco 567g SUN 2122,Pan Blanco 567g,16
2130,Pan de Linaza 475g WON 2130,Pan de Linaza 475g,1
2185,Molido Industrial 25Kg BIM 2185,Molido Industrial 25Kg,9
2230,Principe 6p 64g MLA 2230,Principe 6p 64g,12
2233,Pan Blanco 640g BIM 2233,Pan Blanco 640g,16
2261,Runners 58g BAR 2261,Runners 58g,8
2290,Wonder 100pct gde 680g WON 2290,Wonder 100pct gde 680g,1
2309,Mantecadas 2p 62 5g BIM 2309,Mantecadas 2p 62 5g,14
2320,Barritas Fresa Salvado 67g Prom MLA 2320,Barritas Fresa Salvado 67g,10
2425,Nito 1p 62g Central BIM 2425,Nito 1p 62g,19
2438,Molido 25Kg BIM 2438,Molido 25Kg,9
2505,Mini Bigotes Chocolate 5p 65g SP TR 2505,Mini Bigotes Chocolate 5p 65g,13
2575,Vasos 226 8g8oz NES 2575,Vasos 226 8g8oz,30
2589,Vidrio Congelado 65g Cj DH 2589,Vidrio Congelado 65g,5
2604,Barrita Precocida 44g DH 2604,Barrita Precocida 44g,24
2665,Tostada Ondulada Tubo 30p 360g Cj MR 2665,Tostada Ondulada Tubo 30p 360g,4
2734,Lors 8p 89g MLA 2734,Lors 8p 89g,6
2805,Donas Panera 10p 525g BIM 2805,Donas Panera 10p 525g,25
2806,Donitas Panera 30p 525g BIM 2806,Donitas Panera 30p 525g,25
2808,Mantecadas Panera 16p 500g BIM 2808,Mantecadas Panera 16p 500g,14
2810,Panquecitos Gotas Panera 10p 700g BIM 2810,Panquecitos Gotas Panera 10p 700g,15
2816,Principe 8p 85g SP MLA 2816,Principe 8p 85g,12
2817,Plativolos 8p 74g MLA 2817,Plativolos 8p 74g,6
3030,Tostado Blanco 180g WON 3030,Tostado Blanco 180g,4
3144,Pan Multigrano 540g BIM 3144,Pan Multigrano 540g,1
3160,Tostada Ond Roja Tubo 30p 360g MR 3160,Tostada Ond Roja Tubo 30p 360g,4
3230,Principe Chocolate Blanco 8p 88g MLA 3230,Principe Chocolate Blanco 8p 88g,12
3256,Orejas 70g SP TR 3256,Orejas 70g,24
3270,Conchas Vainilla 2p 120g BIM 3270,Conchas Vainilla 2p 120g,18
3303,Barritas Pina 67g Prom MLA 3303,Barritas Pina 67g,24
3305,Barritas Fresa 67g Prom MLA 3305,Barritas Fresa 67g,10
3319,Pastisetas 20p 150g SUA 3319,Pastisetas 20p 150g,23
3320,Pastiseta 40p 300g SUA 3320,Pastiseta 40p 300g,23
3333,Pastisetas 75g SUA 3333,Pastisetas 75g,24
3402,Animalitos 2Kg LAR 3402,Animalitos 2Kg,22
3415,Canapinas KC 560g LAR 3415,Canapinas KC 560g,23
3428,Deliciosas 6Kg LAR 3428,Deliciosas 6Kg,11
3435,Canapinas 115g LAR 3435,Canapinas 115g,23
3446,Magnas 200g LAR 3446,Magnas 200g,22
3447,Deliciosas 300g LAR 3447,Deliciosas 300g,11
3509,Paletina para Cafe NES 3509,Paletina,29
3510,Saladas 140g LAR 3510,Saladas 140g,13
3518,Animalitos Karamelo 200g LAR 3518,Animalitos Karamelo 200g,22
3525,Canapinas 95g LAR 3525,Canapinas 95g,23
3526,Canapinas 95g SP LAR 3526,Canapinas 95g,23
3530,Marias 170g LAR 3530,Marias 170g,29
3535,Decanelas 100g LAR 3535,Decanelas 100g,30
3555,Deliciosas 115g LAR 3555,Deliciosas 115g,11
3606,Tortilla Hna 750g 18p RW Sonora DH 3606,Tortilla Hna 750g 18p,8
3609,Mantecadas Chocolate 3p TR 3609,Mantecadas Chocolate 3p,13
3621,Super Pan Blanco 740g Prom TNB BIM 3621,Super Pan Blanco 740g,16
3631,Pan Integral 370g BIM 3631,Pan Integral 370g,1
3678,Bimbollos 8p 450g Prom BIM 3678,Bimbollos 8p 450g,9
3687,Medias Noches Jumbo 500g BIM 3687,Medias Noches Jumbo 500g,20
3718,Cuernitos Famili Pack 3p 150g MTA TR 3718,Cuernitos Famili Pack 3p 150g,23
3720,Bran Frut Manzana Canela 40g BIM 3720,Bran Frut Manzana Canela 40g,3
3826,Palitrigos 100g BIM 3826,Palitrigos 100g,30
3894,Sponch 8p 120g MLA 3894,Sponch 8p 120g,18
3919,Barra Multigrano Linaza 32g BIM 3919,Barra Multigrano Linaza 32g,1
3944,Saladas 175g CU LAR 3944,Saladas 175g,13
3970,Tostada Plana de Maiz 20p 180g TN DH 3970,Tostada Plana de Maiz 20p 180g,4
3977,Bran Frut Fresa 6p 240g BIM 3977,Bran Frut Fresa 6p 240g,3
3978,Bran Frut Pina 6p 240g BIM 3978,Bran Frut Pina 6p 240g,3
4053,Bimkingo Jalapeno 86g CU LON 4053,Bimkingo Jalapeno 86g,29
4085,Triki Trakes 8p 69g MLA 4085,Triki Trakes 8p 69g,7
4087,Lors KC 497g MLA 4087,Lors KC 497g,6
4102,Mantecada Vainilla 3p 157g Prom TAB TR 4102,Mantecada Vainilla 3p 157g,14
4109,Tortilla Hna 22p 840g RW Ch DH 4109,Tortilla Hna 22p 840g,8
4118,Tortillas Bolsa 2a 1kg 4118,Tortillas Bolsa 2a 1kg,8
4126,Pan Cero Cero 0pct Azucar 567g WON 4126,Pan Cero Cero 0pct Azucar 567g,16
4135,Pan Empacado Bolsa 2a 1Kg BIM 4135,Pan Empacado Bolsa 2a 1Kg,1
4136,Pasteles o Galletas Bolsa de 2a 1kg MLA 4136,Pasteles o Galletas Bolsa de 2a 1kg,30
4139,Pan Dulce Bolsa 2a 1Kg BIM 4139,Pan Dulce Bolsa 2a 1Kg,1
4150,Bollo Parrillero 6p 585g BIM 4150,Bollo Parrillero 6p 585g,17
4152,Medias Noches 12p 510g BIM 4152,Medias Noches 12p 510g,20
4153,Pan Blanco 640g Consumos Breddy BIM 4153,Pan Blanco 640g,16
4169,Mantecadas 2p 62 5g MTB BIM 4169,Mantecadas 2p 62 5g,14
4189,Sponch Navidad 120g Cj TAB MLA 4189,Sponch Navidad 120g,18
4190,Sponch Navidad 120g Cj MLA 4190,Sponch Navidad 120g,18
4220,Bigotes Chocolate 60g SP TR 4220,Bigotes Chocolate 60g,13
4221,Bigotes Cajeta 60g TR 4221,Bigotes Cajeta 60g,13
4234,Div Tira Mini Doradita 4p 45g Tir TR 4234,Div Tira Mini Doradita 4p 45g,23
4240,Mantecadas 2p SP TR 4240,Mantecadas 2p,14
4245,Conchas 2p 120g TR 4245,Conchas 2p 120g,18
4259,Conchas 3p 180g Prom TR 4259,Conchas 3p 180g,18
4270,Cuernitos 100g TR 4270,Cuernitos 100g,30
4280,Doraditas 110g TR 4280,Doraditas 110g,23
4301,Medias Noches 8p 340g TNB BIM 4301,Medias Noches 8p 340g,20
4304,Mantecadas Chocolate SP 2p 95g TR 4304,Mantecadas Chocolate SP 2p 95g,13
4385,Tostada Ondulada Tubo 30p 360g Tn MR 4385,Tostada Ondulada Tubo 30p 360g,4
4468,Wonder 100pct Ajonjoli 680g SP WON 4468,Wonder 100pct Ajonjoli 680g,1
4477,Tostada Ondulada Tubo 20p 240g MR 4477,Tostada Ondulada Tubo 20p 240g,4
4482,Chocochispas 220g LAR 4482,Chocochispas 220g,29
4512,Bollos BK 5in 6p 489g SL 4512,Bollos BK 5in 6p 489g,17
4513,Bollos BK 4in 6p 345g SL 4513,Bollos BK 4in 6p 345g,17
4514,Medias Noches BK 6p 470g SL 4514,Medias Noches BK 6p 470g,20
4624,Cajeta Espreable Envinada 660g COR 4624,Cajeta Espreable Envinada 660g,9
4733,Bimkingo Jalapeno 86g LON 4733,Bimkingo Jalapeno 86g,29
4767,Tostado Doble Fibra 250g Cj BIM 4767,Tostado Doble Fibra 250g,4
4773,Tostada Ond Tubo 30p 360g Prom CU MR 4773,Tostada Ond Tubo 30p 360g,4
4774,Pan Blanco 640g CU BIM 4774,Pan Blanco 640g,16
4820,Super Hot Dogs 12p 650g WON 4820,Super Hot Dogs 12p 650g,27
4838,Pan Blanco 680g CU BIM 4838,Pan Blanco 680g,16
4859,Sandwichon 115g Cj LON 4859,Sandwichon 115g,23
4910,Empanizador Crujiente 175g BIM 4910,Empanizador Crujiente 175g,13
4919,Cajeta Espreable Quemada 660g COR 4919,Cajeta Espreable Quemada 660g,9
4943,Canelitas Vips 250g Tubo CU MLA 4943,Canelitas Vips 250g,26
4944,Bimbolunch 6p 354g ME BIM 4944,Bimbolunch 6p 354g,13
4946,Panera Polvoron 14p 65g TR 4946,Panera Polvoron 14p 65g,5
4947,Baguette Precocida Cong 280g Cj DH 4947,Baguette Precocida Cong 280g,5
5000,Gansito 1p 50g CCharola MLA 5000,Gansito 1p 50g,19
5015,Triki Trakes Chocolate 69g MLA 5015,Triki Trakes Chocolate 69g,7
5052,Nito 1p 62g Central TAB BIM 5052,Nito 1p 62g,19
5200,Coca Cola Lata 355ml CC 5200,Coca Cola Lata 355ml,22
5223,Coca Cola Light Lata 355ml CC 5223,Coca Cola Light Lata 355ml,22
5277,Barra Multigrano Linaza 6p 192g BIM 5277,Barra Multigrano Linaza 6p 192g,1
5310,Gansito 50g MLA 5310,Gansito 50g,19
5328,Submarinos Vainilla 3p 105g SP MLA 5328,Submarinos Vainilla 3p 105g,11
5337,Submarinos Fresa 3p 105g SP MLA 5337,Submarinos Fresa 3p 105g,10
5340,Choco Roles 2p 80g MLA 5340,Choco Roles 2p 80g,2
5345,Rollo Fresa 2p 75G MLA 5345,Rollo Fresa 2p 75G,10
5350,Pay Pina 1p 85g MLA 5350,Pay Pina 1p 85g,24
5354,Pay Nuez 1p 70g MLA 5354,Pay Nuez 1p 70g,14
5355,Napolitano 1p 70g MLA 5355,Napolitano 1p 70g,24
5371,Bombonete 55g Cj MLA 5371,Bombonete 55g,14
5376,Rocko Tira 10p 44g MLA 5376,Rocko Tira 10p 44g,15
5380,Pinguinos 2p 80g MLA 5380,Pinguinos 2p 80g,2
5386,Choco Roles 2p 80g MLA 5386,Choco Roles 2p 80g,2
5410,Canelitas 6p 60g MLA 5410,Canelitas 6p 60g,26
5414,Canelitas Tubo 250g MLA 5414,Canelitas Tubo 250g,6
5422,Triki Trakes Tubo 27p 225g MLA 5422,Triki Trakes Tubo 27p 225g,7
5423,Plativolos Tubo 193g MLA 5423,Plativolos Tubo 193g,6
5430,Triki Trakes 6p 50g MLA 5430,Triki Trakes 6p 50g,7
5434,Sponch Fresa 6p 90g MLA 5434,Sponch Fresa 6p 90g,10
5453,Suavicremas Vainilla 205g MLA 5453,Suavicremas Vainilla 205g,11
5454,Suavicremas Fresa 205g MLA 5454,Suavicremas Fresa 205g,10
5456,Suavicremas Chocolate 205g MLA 5456,Suavicremas Chocolate 205g,13
5460,Polvorones 4p 75g MLA 5460,Polvorones 4p 75g,5
5463,Polvoron Tubo 280g MLA 5463,Polvoron Tubo 280g,5
5470,Principe Tubo 205g MLA 5470,Principe Tubo 205g,12
5496,Plativolos 300g MLA 5496,Plativolos 300g,6
5543,Gansito ME 5p 250g MLA 5543,Gansito ME 5p 250g,19
5544,Pinguinos 6p 240g ME MLA 5544,Pinguinos 6p 240g,18
5545,Choco Roles 7p 234 5g ME MLA 5545,Choco Roles 7p 234 5g,2
5576,Triki Trakes 3P 25g Inst MLA 5576,Triki Trakes 3P 25g,7
5621,Submarinos Chocolate 3p 105g SP MLA 5621,Submarinos Chocolate 3p 105g,13
5707,Tostada Ondulada Tubo 30p MR 5707,Tostada Ondulada Tubo 30p,4
5708,Polvoron KC 12p 900g MLA 5708,Polvoron KC 12p 900g,27
5709,Plativolos KC 12p 522g MLA 5709,Plativolos KC 12p 522g,27
5710,Canelitas KC 12p 720g MLA 5710,Canelitas KC 12p 720g,27
5711,Sponch KC 540g MLA 5711,Sponch KC 540g,18
5712,Triki Trakes KC 600g MLA 5712,Triki Trakes KC 600g,7
5713,Principe KC 610g MLA 5713,Principe KC 610g,12
5714,Suavicremas Chocolate KC 480g MLA 5714,Suavicremas Chocolate KC 480g,13
5715,Barritas Fresa Kc 12p 804g MLA 5715,Barritas Fresa Kc 12p 804g,10
5716,Barritas Pina Kc 12p 768g MLA 5716,Barritas Pina Kc 12p 768g,24
5717,Suavicremas Vainilla KC 480g MLA 5717,Suavicremas Vainilla KC 480g,11
5718,Suavicremas Fresa KC 480g MLA 5718,Suavicremas Fresa KC 480g,10
5901,Chocotorro Fresa 1p 50g Prom MLA 5901,Chocotorro Fresa 1p 50g,10
5917,Burritos Combinado 191g CU LON 5917,Burritos Combinado 191g,9
5918,Burritos Norteno 186g CU LON 5918,Burritos Norteno 186g,9
5919,Burritos Clasico 197g CU LON 5919,Burritos Clasico 197g,9
5921,Burritos Poblano 208g CU LON 5921,Burritos Poblano 208g,9
5948,Base Plativolos Chocolate 6Kg MLA 5948,Base Plativolos Chocolate 6Kg,13
6066,Frute 54g MTB MLA 6066,Frute 54g,3
6085,Tostada Ondulada Reg 30p 360g CU2 MR 6085,Tostada Ondulada Reg 30p 360g CU2,4
6177,Chicharron Kimono 36g BAR 6177,Chicharron Kimono 36g,25
6420,Tortilla Nachos 3pq 1Kg BAR 6420,Tortilla Nachos 3pq 1Kg,8
6437,Takis Fajitas 62g BAR 6437,Takis Fajitas 62g,19
6456,Churritos Chile y Limon 49g BAR 6456,Churritos Chile y Limon 49g,13
6469,Totopos 280g DH 6469,Totopos 280g,5
6476,Tostachos Queso CB1 70g BAR 6476,Tostachos Queso CB1 70g,24
6490,Chipotles 52g BAR 6490,Chipotles 52g,13
6500,Burritos Norteno 186g MTA LON 6500,Burritos Norteno 186g,9
6502,Burritos Clasico 197g MTA LON 6502,Burritos Clasico 197g,9
6503,Burritos Poblano 208g MTA LON 6503,Burritos Poblano 208g,9
6505,Burritos Combinado 191g MTA LON 6505,Burritos Combinado 191g,9
6507,Bimkingo Clasico 135g CU LON 6507,Bimkingo Clasico 135g,5
6555,Takis Salsa Brava 62g BAR 6555,Takis Salsa Brava 62g,19
6566,Bimkingo Jalapeno 86g MTA LON 6566,Bimkingo Jalapeno 86g,29
6633,Pan Tostado Arandanos 150g MTA BIM 6633,Pan Tostado Arandanos 150g,4
6645,Tortinachos 3pq 1kg MR 6645,Tortinachos 3pq 1kg,9
6657,Sandwichon 115g LON 6657,Sandwichon 115g,23
6667,Bimkingo Clasico 135g LON 6667,Bimkingo Clasico 135g,5
6700,Totopos Redondo 350g MR 6700,Totopos Redondo 350g,5
6820,Golden Nuts Semilla 20g BAR 6820,Golden Nuts Semilla 20g,26
7144,Bollos Economicos 8p 425g SL 7144,Bollos Economicos 8p 425g,17
7145,Hot Dogs Economicos 16p 570g SL 7145,Hot Dogs Economicos 16p 570g,20
7340,Bimkingo Clasico Refrig 135g MTA LON 7340,Bimkingo Clasico Refrig 135g,5
7342,Sandwichon Refrigerado 115g MTA LON 7342,Sandwichon Refrigerado 115g,23
7724,Panditas 42 5g RIC 7724,Panditas 42 5g,30
7761,Bubulubu 20g RIC 7761,Bubulubu 20g,26
7814,Kranky 40g RIC 7814,Kranky 40g,3
7829,Bubulubu 1p 35g RIC 7829,Bubulubu 1p 35g,21
7884,Almendras 35g RIC 7884,Almendras 35g,21
8766,Cajeta Quemada Cubeta 25Kg COR 8766,Cajeta Quemada Cubeta 25Kg,9
8768,Cajeta Quemada Cubeta 5Kg COR 8768,Cajeta Quemada Cubeta 5Kg,9
8825,Obleas Tira 10p COR 8825,Obleas Tira 10p,15
8863,Medias Noches Esp BK 7in 1775g TIR SL 8863,Medias Noches Esp BK 7in 1775g,20
8864,Bollos BK 5in 20p 1730g SL 8864,Bollos BK 5in 20p 1730g,17
8865,Bollos BK 4in 30p 1635g Tn SL 8865,Bollos BK 4in 30p 1635g,17
8874,Tortilla Hna 10p 260g Ch DH 8874,Tortilla Hna 10p 260g,8
8921,Tortilla Hna RC Gdl 10p 260g DH 8921,Tortilla Hna RC Gdl 10p 260g,8
8931,Medias Noches Conveniencia 290g BIM 8931,Medias Noches Conveniencia 290g,20
8940,Tortilla Hna RC SLP 10p 260g DH 8940,Tortilla Hna RC SLP 10p 260g,8
9082,Dalmata 1p 55g TAB MLA 9082,Dalmata 1p 55g,14
9197,Barritas Fresa 32g CU MLA 9197,Barritas Fresa 32g,10
9217,Cuernitos Famili Pack 3p 150g TR 9217,Cuernitos Famili Pack 3p 150g,23
9248,Dulcigomas 49g RIC 9248,Dulcigomas 49g,25
